University,Tuition,Salary
Harvey Mudd College,50649,157400
Massachusetts Institute of Technology,46704,150400
Stanford University,46320,143100
California Institute of Technology,45390,143100
Harvard University,45278,142600
Princeton University,43450,141300
Yale University,47600,135400
University of California-Berkeley,13431,132300
Pennsylvania State University-Main Campus,17514,103100
Ohio State University-Main Campus,10037,95100
Rice University,42253,133600
Florida Institute of Technology,39290,102100
